Description,Percentage
We rarely have enough money coming in to the household every month to cover our costs,4%
"It’s a struggle to make ends meet at the end of the month, but we just about manage it",15%
My household can mainly cover our household expenses by dipping into savings a little by the end of the month,21%
My household is relatively comfortable in covering our costs and expenses as a household and generally have a little bit,31%
My household can easily cover our costs and expenses and have enough money to treat ourselves and save every month,17%
I regularly save or invest money for a rainy day or for a future larger purchase,11%
NET,100%
